,id,earning,prolific
0,54762f9efdf99b05557e04be,5.0,"54762f9efdf99b05557e04be,5.0"
1,586eb256a763c900011d97d0,5.0,"586eb256a763c900011d97d0,5.0"
2,5a95887035237b0001125dfe,5.0,"5a95887035237b0001125dfe,5.0"
3,5ae0b456dc323f0001635e0b,5.0,"5ae0b456dc323f0001635e0b,5.0"
4,5ae5e66d3ab2fb0001ef2f3c,5.0,"5ae5e66d3ab2fb0001ef2f3c,5.0"
5,5b134a12bd9c31000156d4e2,4.0,"5b134a12bd9c31000156d4e2,4.0"
6,5b5ca33f295c4b0001c294d0,5.0,"5b5ca33f295c4b0001c294d0,5.0"
7,5b676f4d3662a80001590769,5.0,"5b676f4d3662a80001590769,5.0"
8,5bd781291fd7c80001bb1fad,5.0,"5bd781291fd7c80001bb1fad,5.0"
9,5be36f917432c0000189d51c,5.0,"5be36f917432c0000189d51c,5.0"
10,5bf300a7ac0f0d000180a247,5.0,"5bf300a7ac0f0d000180a247,5.0"
11,5bfb362f8386580001ed52bd,5.0,"5bfb362f8386580001ed52bd,5.0"
12,5c17678df2012800012adfa2,5.0,"5c17678df2012800012adfa2,5.0"
13,5c241d69da51990001e23776,5.0,"5c241d69da51990001e23776,5.0"
14,5c2da96d0091e40001cb708c,5.0,"5c2da96d0091e40001cb708c,5.0"
15,5c3cd0b4486a390001e86330,6.0,"5c3cd0b4486a390001e86330,6.0"
16,5c56550e54f9d30001db7f50,5.0,"5c56550e54f9d30001db7f50,5.0"
17,5c7498dd2082fe0015f4d419,5.0,"5c7498dd2082fe0015f4d419,5.0"
18,5c9d4168368fa2001578c7a6,5.0,"5c9d4168368fa2001578c7a6,5.0"
19,5d1770db8992b3000156d222,5.0,"5d1770db8992b3000156d222,5.0"
